molecule,smiles,target_affinity,antitarget_affinity,weighted_score
C51A29B01769C008_B0E22DB7173A6883_6038_UN,CC(=O)OC1=CC=C(C=C1)CNC(=O)CC3(CC(=O)N2CCOCC2)CCCC3,4.405200481414795,5.557136178016663,0.23734834790229797
6678E68DE636833E_BB2C558FC0B65C11_6038_DP,N4CCC1=C(C(=CC=C1)COC(C2=CC(=NC3=C2C(=NO3)CCC)CC)=O)C4,5.096846580505371,6.479825973510742,0.23697710037231445
D4FACC51E96F07C2_56B5C8A8052C0518_6038_UN,CC(OC(C1=C(C)N=C(S1)CC2CCN(CC2)C(=O)OCC4C3=C(C=CC=C3)C5=C4C=CC=C5)=O)CC6=CSC=C6,5.446732521057129,6.94656229019165,0.2368108034133911
54558601154DAB38_7036599DAFE13B68_2875_UN,N2=N[N](CC(=O)ON1C(=O)CCC1=O)C=C2COC3CCC(CO)CC3,4.567551612854004,5.77437424659729,0.23677092790603638
6760E6F70B78E851_0B6AAB00B02C38E3_6029_UN,O=C(CN(C1=CC=CC=C1)[S](C2=C[N](C(C)C(=O)O)N=C2)(=O)=O)C3=CC=CC=C3,4.871357440948486,6.179590344429016,0.23666468262672424
5C5168F3360DAEF5_249A34DC992E08E6_6038_DP,OC(=O)C[N]1C=CC2=C1C=CC=C2NC(=O)C4=C3C=CC=C[N]3N=C4C5=CC=CC=C5,5.128137588500977,6.522341251373291,0.2363816499710083
1F8F39BB0A798845_CEA8F2FA1773D7E7_6031_UN,CC(C)N(C(C)C)C1=NC(=C(C(=N1)Cl)C(=O)OCC2CCNCC2C)Cl,5.590338230133057,7.138922214508057,0.23614656925201416
4017CD20BC744AFF_D70D1DEAA0562F2A_1031_UN,CCC(CC)C(C[N]1C2=C(C(=C1C)C(OCC)=O)CCC2)N3CCCC3,4.669338226318359,5.9110376834869385,0.23605996370315552
B13327E59E6295DA_694832540703CD37_6035_UN,O(C1C2CCC1C3CNCC23)C4=C(SC(=C4)C(OCC)=O)C(=O)OCC,4.628109931945801,5.857051491737366,0.2353213131427765
9350B12834DCA779_5EC40C62FBD940BA_6034_UN,CC3=NC1=C(C=N[N]1C2=NC=CC=N2)C(=O)N3C[C@@H]4C[C@@H](CC[C@H]4C(C)C)C,5.674709796905518,7.252814292907715,0.23509907722473145
B93DFB5A4C684D43_AB65612053D51E20_6038_UN,O(C1=CC=C(C=C1)CC=C)C(=O)C2=N[N](C(=N2)C3CC3)C4=CC=CC=C4,5.230718612670898,6.660895466804504,0.23504701256752014
2B39CBA77BC039E3_78D8FC127A8CFACC_6031_UN,CC1=N[N](C)C=C1C2=NOC(C2)C(=O)OCC3(N)CCOC4=C3C=CC=C4,5.430630683898926,6.927709341049194,0.23484867811203003
8194A6D18A391CBC_D0F5EE1687B308DB_6035_UN,O(CCOCCOCC1CCCO1)C2=CC(=CC=C2)C(=O)N3CCCC3,4.705259323120117,5.961230039596558,0.23433679342269897
39FF19C4792D7515_9CB86DBE407EA192_6038_DP,CCC(C)C(NC(C2=CC1=C(CCNC1)C=C2F)=O)C4=NC3=C(C=CC=C3)[NH]4,5.486978530883789,7.004360318183899,0.23370829224586487
88BA54D32592D144_AA0A51AF5C75B7F5_6038_UN,CC1=CC(=CC=C1)C2=C[NH]C(=N2)CNC(C3=C(C)N=C(S3)C4=C(C)C(=NN(C)C4=O)C)=O,5.7869157791137695,7.404622912406921,0.2334485948085785
C49EB296EB905EFE_C6F13259335AC3D2_1171_DP,COC(=O)C(CC1=NC(=CS1)C2=C([N](C(=C2C(OC)=O)C)C(C)C)C)N,5.150807857513428,6.5568461418151855,0.23317325115203857
864570E376D35FB6_C1B98CEA83406A9F_6038_UN,CC(=O)N1CCCN(CC1)C2=CC=C(C=C2)CNC(CC[C@@H](C)C3CC[C@H]4[C@H]6[C@H](CC(=O)[C@]34C)[C@@]5(C)CCC(=O)C[C@H]5CC6=O)=O,5.021899700164795,6.385037541389465,0.23312154412269592
B8F5F4F7C1D0CF92_36BCE213F991E8AA_6041_DP,[NH]1N=CC2=C1C(=CC(=C2)NC3=C(C(OCC)=O)SC4=C3C=CC(=N4)CC(C)C)F,5.456602573394775,6.964715242385864,0.2330661416053772
6A7281E88118356D_2F4B756D81765349_6038_DP,N5C[C@@H](NC(=O)C2=C1C(=NOC1=NC(=C2)C3=CC=CS3)C4CC4)[C@H](C5)[N]6C=CC=N6,5.831008434295654,7.463963985443115,0.23303544521331787
4C7E37EFADB56902_BD34557118DDB7C9_6038_UN,C[N]3C=C(NC(=O)C1=NC=CC(=C1)[N]2C=CN=C2)C(=N3)C4=CC=NC=C4,4.903496265411377,6.228251338005066,0.23230776190757751
