Rank,Molecule ID,SMILES,Score,Extraction Timestamp
65,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:29:00.123106
66,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:30:27.631565
67,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:31:55.512305
68,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:33:36.003635
69,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:35:06.302371
70,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:36:32.571250
71,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:38:12.657391
72,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:39:46.312053
73,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:41:16.977223
74,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:42:42.045025
75,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:44:21.062551
76,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:45:50.666971
77,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:47:20.612197
78,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:48:58.157166
79,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:50:42.241929
80,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:52:17.398212
81,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:53:58.616025
82,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:55:26.447236
83,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:56:56.742730
84,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:58:32.463723
85,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T19:59:59.974271
86,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:01:37.968752
87,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:03:18.156737
88,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:04:53.933075
89,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:06:27.723654
90,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:07:56.011269
91,,"SMILES
C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7",,2025-04-09T20:09:27.988713
