molecule,smiles
C76873920574C8AA_5590DFF44DA856C5_6041_UN,CCC2=N[N](C1CC[S](=O)(=O)C1)C(=C2C(=O)O)N[C@@H](C(OC(C)C)=O)C
C8DF7C54F67FC14F_709C65ED0AD4D97F_6038_DP,N1CC3(C1)CC(NC(C2=C(N(C)C)C=CC(=C2)[N](=O)=O)=O)C4=NC=C[N]34
C9EFB8A62214660C_DC3EE011F2365AC1_6039_DP,CC=CCC(COCC(NC1=NN=C(CCCCCCCCC)S1)=O)N
CC5E49287AC50B40_43CCF39650B75EE8_6041_UN,OB(O)C1=C(C=C(C=C1F)F)NC[C@H](CC(OCCOC)=O)CC(C)C
CC5E49287AC50B40_E9AFF4B4EC075847_6041_UN,OB(O)C1=C(C=C(C=C1F)F)NC[C@H](CC(OCCOC)=O)CC(C)C
CD3F5616CC20BEE8_799721C55061D4E7_6029_UN,N(C2=C(C#N)C(=O)C3CC1=C(C=CC=C1)CN23)[S](C4=CN=C(F)S4)(=O)=O
CF3845AA89E1B37A_5CA821784888B5F5_6041_UN,OB(O)C1=C(C=C(C=C1F)F)NCCCOCCOCCOCCOC
D094E8256A8A647A_D3BF3FF7C9A2B84A_2201_UN,SC3=C(C=C2C1=NC5=C4C(=C1CCC2=N3)CCC4=CC6=C5CCC6)C#N
D0EE6881B6CA88F5_F9D784B86FA868F2_2201_UN,C34=NC1=C(C2=C(S1)CCC2)C(=C3CC5=C4SC=C5)C6=CC=C(C=C6)C#N
D0EF39F234BFCD80_F11872211DF72E13_2201_UN,ClC1=CC2=C(C=C1)[NH]C5=C2CCC6=C3C=CN(C)C4=C3C(=NC=N4)N=C56
D1163AA6A96E0703_6257C84A904E68C9_6029_UN,COCCN([S](=O)(=O)CCOC)[S](C1=C(B(O)O)C(=CC(=C1)F)F)(=O)=O
D15C96E1DFA8F721_8E8ACC498E0E0A31_6041_UN,CCOC(=O)C1=C(N=C(N=C1)N(C)C)NCCC2CCC(OC)(C2)OC
D26E8980226D7526_49B62F7878CD78D7_6029_UN,CC(C)(C)C[C@H]1[C@@H](CN(C1)[S](C2=C(B(O)O)C(=CC(=C2)F)F)(=O)=O)CO
D3637016860AE739_0EFC1607923A0ABB_6038_DP,N1CC[C@@H]([C@@H](F)C1)[N]3C=C(NC(C2(C(OC)=O)CC2[S](=O)(=O)C)=O)C=N3
D40C44A85E48CE82_BD179AC7C2C46D68_6041_UN,C2(=NC1=NC=N[N]1C(=C2)C3=CC=CC=C3)NC4C6CC5CC(CC4C5)C6
D4264A1CA6F705C3_1A025E3B8E9DF063_6031_UN,OB(O)CCCCCC(=O)OCC=C(CCC=C(CCC=C(C)C)C)C
DA443CADAE5C1C9D_B0DB509B71B5383E_6038_UN,COC(=O)CC(CNC(=O)C2CN(C1CC[S](=O)(=O)C1)C(=O)C2)C(C)C
DB354B44DB1A5439_E9D01375A25C2409_2201_UN,C12=NC6=C5C(=C1CCOC4=C2C=C3CCCCC3=C4)C=CNC5=NC=N6
DBFD036282D9F2D5_B0E638858BAE3399_6041_UN,SC1=CC=C(C=C1)NC2=CN=CC=C2
DFF6E067453A6637_76901387B8745F3B_7009_DP,N1CC(C1)[S](=O)(=O)NC(C2=C(C)N=C(S2)C3=C(C)C(=NN(C)C3=O)C)=O
E15D216C5A5C4041_F83B73D4DBE0EF02_6038_UN,N(C1=C(ON=C1)C2CC2)C(C3=C[N](N=C3C(C)C)C4CC[S](=O)(=O)C4)=O
E4615877B9DE4434_96E472E47A591D70_6003_UN,NC(=O)N2CC(OC1=C(C=C([N](=O)=O)C(=C1)[S](=O)(=O)Cl)F)CC2C(=O)O
E56CAFDEA6F6548A_4F6AEBCD3D1229C0_6029_UN,COCCOCCOCCCN[S](C1=C(B(O)O)C(=CC(=C1)F)F)(=O)=O
E754C2EED58DCB04_86686FEADF70D7C3_6039_UN,O(C2CCC1CCCC1C2)CCCCCCCCCCCCCCCC
E96A5A6ABF6DA760_206D9620B30806A7_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3C4=C(CC3)C=C(C=C4)C#N
EA123C287A527711_0BC359D05B6D47A3_6041_UN,FC1=CC2=C(C(=C1)F)C(=C(C#N)C=N2)NC3=CC(=NC4=C3CCCC4)C
EC92C1DE97B4FE14_CF3BFD51108627D9_2238_UN,N3C1C(NC2=C(C1)C(=CC=N2)C34C(NC5=C4C=C([S](Cl)(=O)=O)C=C5)=O)=O
ECE2DAB2C8C1E870_F5834CA647C8A418_6031_UN,COC1=NC(=NC(=N1)Cl)NCC(CC(C)C)C(=O)OCC2CC[S]2(=O)=O
ECE5E5967AC3D4DE_565692CDEEF6043E_2201_UN,CC1=C(C3=C(C=C1)C2=NC5=C4C(=C2CCO3)CCC4=CC6=C5CCC6)C
ED3A9B74294A5D92_676D8DF76824EE50_6041_DP,CN(C1CCNCC1)C2=NC(=NC=C2)NC3C4=C(CC3)C=CC(=C4F)F
EF37BA9994CCB103_E313BF5697320620_6038_UN,CC2=C(C)CC(C(CNC(=O)C1=C(C(=C(C(=N1)Cl)Cl)Cl)Cl)C2)[S](=O)(=O)O
EF9DD6C88E08078F_A23193C46EE70ADF_6038_UN,N(C1=C(C=NC=C1)B(O)O)C(C2=C(C)N=C(S2)C3=C(C)C(=NN(C)C3=O)C)=O
F14128CEDA670009_375DAB3690304399_2201_UN,C12=NC6=C5C(=C1CC4=C3C2=CC=CC3=CC=C4)CCC5=CC7=C6CCC7
F2F376EB6358CAC5_B258D4E2DB35C280_6031_UN,OB(O)CCCCCC(=O)OC[C@@H]1CCCC[C@H]1O[Si](C(C)(C)C)(C)C
F2F76808ECDDC644_21531D33D3ED073E_6039_UN,O(C(CC[N]1N=CN=C1)C(=O)O)CC(=O)NC(=O)NC2CC[S](=O)(=O)C2
F4B9487D0CAC0693_404D4E19141A2B71_2875_DP,FC(F)(F)C1=CC(=C(N=C1)C#N)[N]2N=NC(=C2)C4=C3[N](CCNC3)N=C4
F5AB2226487B77EE_5EDFFE8DD4E79E1F_6041_DP,N5CC1=C(C=C(C=C1)NC2C3=C(CCC2N(C)C)C=CC=C3)C4(CC4)C5
FDB72DA66AC2D446_9605DD1DC02633B4_7019_UN,CC(C)CN(C1CC[S](=O)(=O)C1)C(=O)C=CC2=C([N](C(C)C)N=C2C)C
FE87719016EBB064_AB335152246666E9_7009_UN,C[N]1C=C(C(=N1)C2CCC2)[S](=O)(=O)NC(C=CC3=CN=C(C)NC3=O)=O
FEC6980759A0CD54_8B4D75DA2531F28F_2201_UN,C12=NC4=C(C(=C1CCC3=C2C=CC(=C3)C#N)C)C=NC5=C4C=C(C=C5)Br
FF2B5FAFA2D8E8F3_28DE9E0660136F51_6038_UN,CC(C)OC(=O)[C@@H](NC(=O)C2CN(C1CC[S](=O)(=O)C1)C(=O)C2)C(C)C
